p_id;training_date;day_of_week;mc_day;week_nr;rpe;duration
617;14.01.2019;Monday;Non-match week;2;3;45
617;15.01.2019;Tuesday;Non-match week;2;7;40
617;16.01.2019;Wednesday;Non-match week;2;6;60
617;16.01.2019;Wednesday;Non-match week;2;0;60
617;17.01.2019;Thursday;Non-match week;2;4;40
617;18.01.2019;Friday;Non-match week;2;9;60
617;21.01.2019;Monday;Non-match week;3;6;70
617;21.01.2019;Monday;Non-match week;3;0;60
617;22.01.2019;Tuesday;Non-match week;3;5;60
617;23.01.2019;Wednesday;Non-match week;3;5;50
617;23.01.2019;Wednesday;Non-match week;3;3;35
617;24.01.2019;Thursday;Non-match week;3;2;50
617;25.01.2019;Friday;Non-match week;3;6;60
617;28.01.2019;Monday;M-4;4;7;60
617;29.01.2019;Tuesday;M-3;4;6;75
617;30.01.2019;Wednesday;M-2;4;5;50
617;31.01.2019;Thursday;M-1;4;5;50
617;01.02.2019;Friday;M;4;7;70
617;04.02.2019;Monday;M-4;5;7;60
617;04.02.2019;Monday;M-4;5;1;60
617;05.02.2019;Tuesday;M-3;5;6;75
617;06.02.2019;Wednesday;M-2;5;4;50
617;07.02.2019;Thursday;M-1;5;5;50
617;08.02.2019;Friday;M;5;7;60
617;09.02.2019;Saturday;M+1;5;0;60
617;11.02.2019;Monday;M-4;6;7;60
617;11.02.2019;Monday;M-4;6;1;60
617;12.02.2019;Tuesday;M-3;6;5;75
617;13.02.2019;Wednesday;M-2;6;6;50
617;14.02.2019;Thursday;M-1;6;5;50
617;15.02.2019;Friday;M;6;7;90
617;18.02.2019;Monday;M-4;7;2;60
617;19.02.2019;Tuesday;M-3;7;2;45
617;19.02.2019;Tuesday;M-3;7;6;75
617;19.02.2019;Tuesday;M-3;7;1;60
617;20.02.2019;Wednesday;M-2;7;5;50
617;20.02.2019;Wednesday;M-2;7;3;50
617;21.02.2019;Thursday;M-1;7;4;50
617;21.02.2019;Thursday;M-1;7;2;50
617;22.02.2019;Friday;M;7;7;90
617;24.02.2019;Sunday;M+2;7;3;60
617;24.02.2019;Sunday;M+2;7;1;60
617;25.02.2019;Monday;M-2;8;4;60
617;25.02.2019;Monday;M-2;8;4;45
617;26.02.2019;Tuesday;M-1;8;3;60
617;27.02.2019;Wednesday;M;8;7;90
617;01.03.2019;Friday;M+2;8;1;60
617;02.03.2019;Saturday;Unconventional match week;8;6;50
617;04.03.2019;Monday;M-4;9;6;75
617;04.03.2019;Monday;M-4;9;0;60
617;05.03.2019;Tuesday;M-3;9;5;75
617;06.03.2019;Wednesday;M-2;9;6;60
617;06.03.2019;Wednesday;M-2;9;3;40
617;07.03.2019;Thursday;M-1;9;1;50
617;08.03.2019;Friday;M;9;7;90
617;09.03.2019;Saturday;M+1;9;1;60
617;11.03.2019;Monday;M-4;10;6;70
617;12.03.2019;Tuesday;M-3;10;5;85
617;13.03.2019;Wednesday;M-2;10;5;60
617;14.03.2019;Thursday;M-1;10;2;50
617;15.03.2019;Friday;M;10;7;90
617;16.03.2019;Saturday;M+1;10;1;60
617;18.03.2019;Monday;Unconventional match week;11;3;50
617;19.03.2019;Tuesday;M-4;11;4;75
617;20.03.2019;Wednesday;M-3;11;6;90
617;21.03.2019;Thursday;M-2;11;5;50
617;21.03.2019;Thursday;M-2;11;2;45
617;23.03.2019;Saturday;M;11;9;90
617;25.03.2019;Monday;M+2;12;0;45
617;26.03.2019;Tuesday;Unconventional match week;12;2;55
617;27.03.2019;Wednesday;M-4;12;6;75
617;28.03.2019;Thursday;M-3;12;5;80
617;29.03.2019;Friday;M-2;12;5;55
617;30.03.2019;Saturday;M-1;12;2;40
617;31.03.2019;Sunday;M;12;7;90
617;01.04.2019;Monday;M+1;13;1;45
617;03.04.2019;Wednesday;M-4;13;6;75
617;04.04.2019;Thursday;M-3;13;5;80
617;05.04.2019;Friday;M-2;13;4;65
617;06.04.2019;Saturday;M-1;13;3;40
617;07.04.2019;Sunday;M;13;8;90
617;09.04.2019;Tuesday;M+2;14;3;60
617;10.04.2019;Wednesday;M-2;14;5;65
617;11.04.2019;Thursday;M-1;14;2;40
617;12.04.2019;Friday;M;14;7;90
617;14.04.2019;Sunday;M+2;14;1;60
617;15.04.2019;Monday;Non-match week;15;6;90
617;17.04.2019;Wednesday;Non-match week;15;4;60
617;18.04.2019;Thursday;Non-match week;15;4;75
617;19.04.2019;Friday;Non-match week;15;5;85
617;20.04.2019;Saturday;Non-match week;15;4;60
617;21.04.2019;Sunday;Non-match week;15;2;40
617;22.04.2019;Monday;M;16;7;90
617;24.04.2019;Wednesday;M-4;16;6;55
617;25.04.2019;Thursday;M-3;16;6;65
617;26.04.2019;Friday;M-2;16;5;60
617;27.04.2019;Saturday;M-1;16;3;40
617;28.04.2019;Sunday;M;16;7;90
617;30.04.2019;Tuesday;Unconventional match week;17;2;45
617;01.05.2019;Wednesday;M-4;17;7;90
617;03.05.2019;Friday;M-2;17;4;60
617;05.05.2019;Sunday;M;17;7;90
617;08.05.2019;Wednesday;Non-match week;18;6;75
617;09.05.2019;Thursday;Non-match week;18;5;80
617;10.05.2019;Friday;Non-match week;18;6;65
617;11.05.2019;Saturday;Non-match week;18;4;60
617;13.05.2019;Monday;M;19;7;90
617;15.05.2019;Wednesday;M-1;19;6;45
617;16.05.2019;Thursday;M;19;8;90
617;18.05.2019;Saturday;M-1;19;2;45
617;22.05.2019;Wednesday;M-4;20;3;45
617;19.05.2019;Sunday;M;19;7;90
617;23.05.2019;Thursday;M-3;20;7;90
617;24.05.2019;Friday;M-2;20;1;45
617;25.05.2019;Saturday;M-1;20;3;45
617;26.05.2019;Sunday;M;20;7;90
617;28.05.2019;Tuesday;Non-match week;21;6;60
617;29.05.2019;Wednesday;Non-match week;21;1;45
617;31.05.2019;Friday;Non-match week;21;6;60
617;01.06.2019;Saturday;Non-match week;21;1;45
617;12.06.2019;Wednesday;Non-match week;23;6;70
617;13.06.2019;Thursday;Non-match week;23;6;85
617;14.06.2019;Friday;Non-match week;23;5;60
617;15.06.2019;Saturday;Non-match week;23;2;45
617;16.06.2019;Sunday;Non-match week;23;7;90
617;18.06.2019;Tuesday;M-1;24;3;60
617;21.06.2019;Friday;M-1;24;3;60
617;22.06.2019;Saturday;M;24;1;30
617;22.06.2019;Saturday;M;24;8;90
617;23.06.2019;Sunday;M-1;24;2;70
617;25.06.2019;Tuesday;Non-match week;25;5;90
617;25.06.2019;Tuesday;Non-match week;25;7;60
617;26.06.2019;Wednesday;Non-match week;25;5;90
617;26.06.2019;Wednesday;Non-match week;25;1;60
617;27.06.2019;Thursday;Non-match week;25;3;90
617;29.06.2019;Saturday;Non-match week;25;4;70
617;30.06.2019;Sunday;Non-match week;25;3;60
617;01.07.2019;Monday;M;26;1;45
617;01.07.2019;Monday;M;26;7;90
617;04.07.2019;Thursday;M-1;26;3;65
617;05.07.2019;Friday;M;26;7;90
617;06.07.2019;Saturday;M-2;26;0;0
617;08.07.2019;Monday;M+1;27;6;75
617;08.07.2019;Monday;M+1;27;1;60
617;09.07.2019;Tuesday;M+2;27;6;85
