p_id;training_date;day_of_week;mc_day;week_nr;srpe;total_distance_daily;v4_distance_daily;v5_distance_daily;player_load_daily;gps_day
450;25.01.2019;Friday;Non-match week;3;360;6311.64;205.51;43.08;574.31;devices worn
450;19.02.2019;Tuesday;M-3;7;600;5619.02;98.7;19.31;650.34;devices worn
450;07.02.2019;Thursday;M-1;5;250;5129.06;188.53;28.6;506.35;devices worn
450;27.02.2019;Wednesday;M;8;630;9783.26;330.02;120.88;983.71;devices worn
450;26.02.2019;Tuesday;M-1;8;180;3305.12;59.87;31.08;367.78;devices worn
450;20.02.2019;Wednesday;M-2;7;400;4419.67;250.08;20.53;468.53;devices worn
450;25.02.2019;Monday;M-2;8;420;4983.22;207.23;148.61;535.34;devices worn
450;21.02.2019;Thursday;M-1;7;300;3618.89;135.8;34.17;368.96;devices worn
450;24.02.2019;Sunday;M+2;7;240;3511.63;9.39;0;471.66;devices worn
450;31.03.2019;Sunday;M;12;630;10729.63;403.57;178.84;1064.74;devices worn
450;19.03.2019;Tuesday;M-4;11;300;4765.78;100.79;21.58;535.61;devices worn
450;05.03.2019;Tuesday;M-3;9;375;5941.94;308.33;94.55;606.26;devices worn
450;28.03.2019;Thursday;M-3;12;400;4383.59;74.87;11.25;426.23;devices worn
450;30.03.2019;Saturday;M-1;12;80;2026.81;71.59;0;228.1;devices worn
450;18.03.2019;Monday;Unconventional match week;11;150;4429.04;121.42;27;487.83;devices worn
450;04.03.2019;Monday;M-4;9;450;5296.66;137.28;20.39;614.87;devices worn
450;29.03.2019;Friday;M-2;12;275;5203.8;80.64;10.45;524.74;devices worn
450;07.03.2019;Thursday;M-1;9;50;2017.27;41.77;4.32;217.71;devices worn
450;06.03.2019;Wednesday;M-2;9;480;5083.19;208.19;209.36;538.47;devices worn
450;13.03.2019;Wednesday;M-2;10;300;5313.83;209.71;139.49;536.44;devices worn
450;27.03.2019;Wednesday;M-4;12;450;4603.35;60.9;1.9;471.56;devices worn
450;23.03.2019;Saturday;M;11;810;10363.35;538.94;175.71;1007.88;devices worn
450;12.03.2019;Tuesday;M-3;10;425;6396.5;316.81;35.43;646.33;devices worn
450;14.03.2019;Thursday;M-1;10;100;3213.45;102.32;23.24;314.86;devices worn
450;20.03.2019;Wednesday;M-3;11;540;7092.21;282.95;78.52;715.14;devices worn
450;08.03.2019;Friday;M;9;630;10623.98;450.81;126.76;1134.17;devices worn
450;11.03.2019;Monday;M-4;10;420;6345.55;264.94;16.78;651.3;devices worn
450;15.03.2019;Friday;M;10;630;11181.62;463.36;173.19;1067.44;devices worn
450;30.04.2019;Tuesday;Unconventional match week;17;90;2518.39;27.37;0;251.15;devices worn
450;18.04.2019;Thursday;Non-match week;15;300;4102.41;112.76;1.67;423.94;devices worn
450;04.04.2019;Thursday;M-3;13;400;6204.53;157.41;55.07;611.95;devices worn
450;28.04.2019;Sunday;M;16;630;10592.87;493.87;221.55;1036.08;devices worn
450;19.04.2019;Friday;Non-match week;15;425;3262.93;147.04;27.11;327.36;devices worn
450;05.04.2019;Friday;M-2;13;260;4128.12;62.96;12.69;398.9;devices worn
450;03.04.2019;Wednesday;M-4;13;450;6189.45;193.54;83.52;600.41;devices worn
450;06.04.2019;Saturday;M-1;13;120;1141.55;7.21;0;111.57;devices worn
450;07.04.2019;Sunday;M;13;720;11042.63;221.17;115.95;1077.86;devices worn
450;12.04.2019;Friday;M;14;630;10574.88;321.11;64.35;1095.95;devices worn
450;26.04.2019;Friday;M-2;16;300;4544.53;198.46;85.54;437.9;devices worn
450;27.04.2019;Saturday;M-1;16;120;2434.2;14.65;0;255.62;devices worn
450;17.04.2019;Wednesday;Non-match week;15;240;3085.93;43.08;6.57;350.97;devices worn
450;22.04.2019;Monday;M;16;630;10101.87;327.66;128.02;1023.21;devices worn
450;10.04.2019;Wednesday;M-2;14;325;4893.47;145.34;11.17;483.92;devices worn
450;09.04.2019;Tuesday;M+2;14;180;4062.3;27.09;15.75;427.3;devices worn
450;11.04.2019;Thursday;M-1;14;80;1598.58;9.28;0;158.29;devices worn
450;25.04.2019;Thursday;M-3;16;390;4715.8;105.23;34.56;484.26;devices worn
450;20.04.2019;Saturday;Non-match week;15;240;4666.73;126.46;40.02;477.25;devices worn
450;01.05.2019;Wednesday;M-4;17;630;9538.46;330.8;145.2;883.19;devices worn
450;18.05.2019;Saturday;M-1;19;90;2977.31;42.1;13.02;312.02;devices worn
450;05.05.2019;Sunday;M;17;630;9480.08;282.22;84.91;960.85;devices worn
450;19.05.2019;Sunday;M;19;630;10883.89;370.1;73.27;1079.51;devices worn
450;03.05.2019;Friday;M-2;17;240;4204.65;143.64;56.29;427.05;devices worn
450;26.05.2019;Sunday;M;20;630;10987.23;500.37;183.75;1146.48;devices worn
450;23.05.2019;Thursday;M-3;20;630;9409.87;330.66;226.73;917.58;devices worn
450;13.05.2019;Monday;M;19;630;10122.48;457.99;99.77;1009.87;devices worn
450;16.05.2019;Thursday;M;19;720;10449.65;322.54;99.67;1071.29;devices worn
450;10.05.2019;Friday;Non-match week;18;390;5410.01;217.25;33.26;521.49;devices worn
450;09.05.2019;Thursday;Non-match week;18;400;5976.74;98.05;21.29;599.65;devices worn
450;15.05.2019;Wednesday;M-1;19;270;1343.45;55.39;77.89;137.12;devices worn
450;25.05.2019;Saturday;M-1;20;135;3249.37;79.15;28.45;321.55;devices worn
450;11.05.2019;Saturday;Non-match week;18;240;3502.12;115.01;11.99;380.52;devices worn
450;08.05.2019;Wednesday;Non-match week;18;450;5520.08;89.68;19.43;581.77;devices worn
450;18.06.2019;Tuesday;M-1;24;180;3324.16;40.05;13.8;350.18;devices worn
450;30.06.2019;Sunday;Non-match week;25;180;4709.55;108.13;25.19;485.31;devices worn
450;25.06.2019;Tuesday;Non-match week;25;870;9506.77;684.65;146.28;996.23;devices worn
450;29.06.2019;Saturday;Non-match week;25;280;3191.98;45.89;19.68;359.85;devices worn
450;22.06.2019;Saturday;M;24;750;12141.43;389.34;166.73;1220.05;devices worn
450;12.06.2019;Wednesday;Non-match week;23;420;6392.04;92.22;72.02;707.33;devices worn
450;26.06.2019;Wednesday;Non-match week;25;510;5179.68;139.23;53.66;548.57;devices worn
450;16.06.2019;Sunday;Non-match week;23;630;10692.96;425.69;246.99;1065.66;devices worn
450;13.06.2019;Thursday;Non-match week;23;510;5387.83;138.47;61.95;536.49;devices worn
450;27.06.2019;Thursday;Non-match week;25;270;3962.99;48.21;0;408.23;devices worn
450;21.06.2019;Friday;M-1;24;180;2890.42;92.14;36.17;304.87;devices worn
450;14.06.2019;Friday;Non-match week;23;300;3977.69;65.36;2.57;384.2;devices worn
450;08.06.2019;Saturday;Non-match week;22;;;0;0;1.02;devices worn
450;04.07.2019;Thursday;M-1;26;195;2607.25;74.57;37.81;266.06;devices worn
450;30.07.2019;Tuesday;Non-match week;30;390;6298.1;474.19;36.35;618.57;devices worn
450;29.07.2019;Monday;Non-match week;30;510;6670.77;215.02;19.81;698.56;devices worn
450;05.07.2019;Friday;M;26;630;10721.45;359.35;166.98;1080.06;devices worn
450;28.07.2019;Sunday;Non-match week;29;510;1302.21;0;0;159.39;devices worn
450;01.07.2019;Monday;M;26;675;776.89;0;0;90.29;devices worn
450;09.07.2019;Tuesday;M+2;27;675;9325.02;134.32;21.6;983.53;devices worn
